backend,device,initial_candidates,source_file,source_sha256,git_commit,git_dirty,duration_seconds,initialization_total_ms,backend_build_ms,rss_after_init_bytes,rss_at_end_bytes,total_min_ms,total_p50_ms,total_p95_ms,total_max_ms,total_mean_ms,embed_p50_ms,vector_search_p50_ms,bm25_p50_ms,rerank_p50_ms,finalize_p50_ms,eligible_questions,source_hit_at_1,source_hit_at_3,source_hit_at_5,mean_reciprocal_rank,unstable_rankings
faiss-cached,cpu,10,RAG/bench/results/20260826_controlled-faiss-cached-cpu-c10.json,58f8c2cd00e5a7e8fcf921514a3f3dcb0e3c7d177766c2cd8ff56fbfdb3cce62,e17217c1592a32eaacb1fc183cd69c2c25585319,False,294.252,12932.149,64.04,1133539328,2939019264,2054.336,2617.286,2943.974,3195.949,2640.686,20.712,6.027,3.425,2588.316,0.446,32,0.5,0.84375,0.9375,0.674479,0
faiss-cached,cpu,20,RAG/bench/results/20260826_controlled-faiss-cached-cpu.json,b9aba6f5560f3235f138249d077fb5858b51142beaeea41de514b9e3b76c2f6c,e17217c1592a32eaacb1fc183cd69c2c25585319,False,569.093,12850.099,58.71,1134321664,3097305088,4275.165,5222.854,5840.997,5917.232,5233.395,20.649,6.045,6.651,5192.141,0.832,32,0.53125,0.8125,0.90625,0.683333,0
faiss-cached,cuda,10,RAG/bench/results/20260826_controlled-faiss-cached-gpu-c10.json,557b5f9d7ab0bf87d5b52482da4bf7b89044e9309afc04bcfd3d466a06bec7fc,e17217c1592a32eaacb1fc183cd69c2c25585319,False,26.509,14004.659,76.561,2418688000,3285413888,82.535,97.318,110.417,127.679,97.437,7.949,3.442,1.779,83.354,0.248,32,0.5,0.84375,0.9375,0.674479,0
faiss-cached,cuda,20,RAG/bench/results/20260826_controlled-faiss-cached-gpu-c20.json,4951056d6d47f23989dbdc2a3cf9d718af8eef1d2e488ab70eddc211ebb55886,e17217c1592a32eaacb1fc183cd69c2c25585319,False,35.156,13787.038,63.942,2418683904,3296325632,155.103,177.524,209.245,248.352,180.004,7.262,3.392,3.377,161.478,0.423,32,0.53125,0.8125,0.90625,0.683333,0
qdrant-tuned,cpu,10,RAG/bench/results/20260826_controlled-qdrant-tuned-cpu-c10.json,1e2b1fa98d9bf1b2d9a7d199eae60e5c3afab4b145f6a6dc933bf56f8696b9ba,e17217c1592a32eaacb1fc183cd69c2c25585319,False,301.568,14226.945,1535.583,1173024768,2974007296,2091.882,2705.826,2998.251,3104.18,2697.747,20.612,20.232,3.44,2644.476,0.443,32,0.5,0.84375,0.9375,0.674479,0
qdrant-tuned,cpu,20,RAG/bench/results/20260826_controlled-qdrant-tuned-cpu.json,5081dac348bc69f5ec2c25c641e29102700461a7d45af609f47f9635459b1012,e17217c1592a32eaacb1fc183cd69c2c25585319,False,576.876,14219.116,1619.803,1172934656,3133415424,4369.664,5217.141,5872.236,5956.873,5294.154,20.961,21.272,6.571,5168.595,0.802,32,0.53125,0.8125,0.90625,0.683333,0
qdrant-tuned,cuda,10,RAG/bench/results/20260826_controlled-qdrant-tuned-gpu-c10.json,99ab07e7577b9a0f492ef0b9d74b7d58c98b03fd929f85a2cd6afa83091a6027,e17217c1592a32eaacb1fc183cd69c2c25585319,False,28.656,15221.368,1577.258,2460205056,3325771776,96.217,105.421,117.312,123.428,106.608,7.396,13.452,1.802,82.355,0.252,32,0.5,0.84375,0.9375,0.674479,0
qdrant-tuned,cuda,20,RAG/bench/results/20260826_controlled-qdrant-tuned-gpu-c20.json,a604a8957fb5eb7ada592da7021d5cd18d1fa9a6a64f5e1e6c10234336fc79e9,e17217c1592a32eaacb1fc183cd69c2c25585319,False,38.039,15289.698,1595.958,2459791360,3330822144,170.517,191.86,229.762,258.178,193.545,7.642,17.45,3.413,163.191,0.443,32,0.53125,0.8125,0.90625,0.683333,0
